Species	Genus	CF	n_genomes_cf	positive_genomes	prevalence	mean_copy_all	mean_copy_pos	n_genomes	n_skin	n_nasal	module	functional_theme	functional_theme_short
Acinetobacter higginsii	Acinetobacter	CF0	1	1	1	2	2	1	1	0	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter higginsii	Acinetobacter	CF12	1	1	1	6	6	1	1	0	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter higginsii	Acinetobacter	CF8	1	1	1	2	2	1	1	0	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter higginsii	Acinetobacter	CF1	1	1	1	1	1	1	1	0	module2	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Acinetobacter higginsii	Acinetobacter	CF3	1	1	1	1	1	1	1	0	module3	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter higginsii	Acinetobacter	CF4	1	1	1	1	1	1	1	0	module4	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Acinetobacter higginsii	Acinetobacter	CF7	1	1	1	2	2	1	1	0	module4	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Acinetobacter higginsii	Acinetobacter	CF2_10	1	1	1	2	2	1	1	0	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter higginsii	Acinetobacter	CF2_4	1	1	1	1	1	1	1	0	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter higginsii	Acinetobacter	CF6	1	1	1	1	1	1	1	0	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter higginsii	Acinetobacter	CF5	1	1	1	1	1	1	1	0	module6	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Acinetobacter higginsii	Acinetobacter	CF9_12	1	0	0	0	0	1	1	0	module7	Poorly characterized candidate modules	Poorly characterized
Acinetobacter higginsii	Acinetobacter	CF9_9	1	1	1	1	1	1	1	0	module7	Poorly characterized candidate modules	Poorly characterized
Acinetobacter higginsii	Acinetobacter	CF10	1	0	0	0	0	1	1	0	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Acinetobacter higginsii	Acinetobacter	CF22	1	0	0	0	0	1	1	0	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
